timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703253155397,1,Characters by ID,200,OK,Home Work 17 1-41,text,true,,235,127,1,1,http://localhost:3001/character/1,1,0,0
1703253155399,1,Create character,200,OK,Home Work 17 1-41,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155400,1,Change character,200,OK,Home Work 17 1-41,text,true,,235,229,1,1,http://localhost:3001/character/4,1,0,0
1703253155402,1,Delete character,200,OK,Home Work 17 1-41,text,true,,249,232,2,2,http://localhost:3001/character/4,1,0,0
1703253155403,2,Characters,200,OK,Home Work 17 1-42,text,true,,257,126,1,1,http://localhost:3001/characters,2,0,1
1703253155406,1,Characters by ID,200,OK,Home Work 17 1-42,text,true,,235,127,1,1,http://localhost:3001/character/1,1,0,0
1703253155407,1,Create character,200,OK,Home Work 17 1-42,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155409,1,Change character,200,OK,Home Work 17 1-42,text,true,,235,229,1,1,http://localhost:3001/character/4,1,0,0
1703253155410,1,Delete character,200,OK,Home Work 17 1-42,text,true,,249,232,1,1,http://localhost:3001/character/4,1,0,0
1703253155414,3,Characters,200,OK,Home Work 17 1-43,text,true,,257,126,1,1,http://localhost:3001/characters,3,0,1
1703253155417,1,Characters by ID,200,OK,Home Work 17 1-43,text,true,,235,127,1,1,http://localhost:3001/character/1,1,0,0
1703253155419,1,Create character,200,OK,Home Work 17 1-43,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155420,2,Change character,200,OK,Home Work 17 1-43,text,true,,235,229,1,1,http://localhost:3001/character/4,2,0,0
1703253155422,2,Delete character,200,OK,Home Work 17 1-43,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155424,3,Characters,200,OK,Home Work 17 1-44,text,true,,257,126,1,1,http://localhost:3001/characters,3,0,1
1703253155427,2,Characters by ID,200,OK,Home Work 17 1-44,text,true,,235,127,1,1,http://localhost:3001/character/1,2,0,0
1703253155429,2,Create character,200,OK,Home Work 17 1-44,text,true,,235,227,1,1,http://localhost:3001/character,2,0,0
1703253155431,1,Change character,200,OK,Home Work 17 1-44,text,true,,235,229,1,1,http://localhost:3001/character/4,1,0,0
1703253155432,2,Delete character,200,OK,Home Work 17 1-44,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155434,2,Characters,200,OK,Home Work 17 1-45,text,true,,257,126,1,1,http://localhost:3001/characters,2,0,1
1703253155436,2,Characters by ID,200,OK,Home Work 17 1-45,text,true,,235,127,1,1,http://localhost:3001/character/1,2,0,0
1703253155438,1,Create character,200,OK,Home Work 17 1-45,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155439,2,Change character,200,OK,Home Work 17 1-45,text,true,,235,229,1,1,http://localhost:3001/character/4,2,0,0
1703253155441,1,Delete character,200,OK,Home Work 17 1-45,text,true,,249,232,1,1,http://localhost:3001/character/4,1,0,0
1703253155444,3,Characters,200,OK,Home Work 17 1-46,text,true,,257,126,1,1,http://localhost:3001/characters,3,0,1
1703253155447,2,Characters by ID,200,OK,Home Work 17 1-46,text,true,,235,127,1,1,http://localhost:3001/character/1,2,0,0
1703253155449,1,Create character,200,OK,Home Work 17 1-46,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155450,2,Change character,200,OK,Home Work 17 1-46,text,true,,235,229,1,1,http://localhost:3001/character/4,2,0,0
1703253155453,1,Delete character,200,OK,Home Work 17 1-46,text,true,,249,232,1,1,http://localhost:3001/character/4,1,0,0
1703253155455,3,Characters,200,OK,Home Work 17 1-47,text,true,,257,126,1,1,http://localhost:3001/characters,2,0,1
1703253155458,1,Characters by ID,200,OK,Home Work 17 1-47,text,true,,235,127,1,1,http://localhost:3001/character/1,1,0,0
1703253155459,1,Create character,200,OK,Home Work 17 1-47,text,true,,235,227,1,1,http://localhost:3001/character,1,0,0
1703253155461,1,Change character,200,OK,Home Work 17 1-47,text,true,,235,229,1,1,http://localhost:3001/character/4,1,0,0
1703253155462,2,Delete character,200,OK,Home Work 17 1-47,text,true,,249,232,1,1,http://localhost:3001/character/4,2,0,0
1703253155465,2,Characters,200,OK,Home Work 17 1-48,text,true,,257,126,1,1,http://localhost:3001/characters,2,0,1
1703253155468,1,Characters by ID,200,OK,Home Work 17 1-48,text,true,,235,127,1,1,http://localhost:3001/character/1,1,0,0
1703253155469,2,Create character,200,OK,Home Work 17 1-48,text,true,,235,227,1,1,http://localhost:3001/character,2,0,0
1703253155471,2,Change character,200,OK,Home Work 17 1-48,text,true,,235,229,1,1,http://localhost:3001/character/4,2,0,0
1703253155473,2,Delete character,200,OK,Home Work 17 1-48,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155474,3,Characters,200,OK,Home Work 17 1-49,text,true,,257,126,1,1,http://localhost:3001/characters,3,0,1
1703253155477,2,Characters by ID,200,OK,Home Work 17 1-49,text,true,,235,127,1,1,http://localhost:3001/character/1,2,0,0
1703253155479,2,Create character,200,OK,Home Work 17 1-49,text,true,,235,227,1,1,http://localhost:3001/character,2,0,0
1703253155481,2,Change character,200,OK,Home Work 17 1-49,text,true,,235,229,2,2,http://localhost:3001/character/4,2,0,0
1703253155483,2,Delete character,200,OK,Home Work 17 1-49,text,true,,249,232,2,2,http://localhost:3001/character/4,2,0,0
1703253155483,3,Characters,200,OK,Home Work 17 1-50,text,true,,257,126,1,1,http://localhost:3001/characters,3,0,1
1703253155486,1,Characters by ID,200,OK,Home Work 17 1-50,text,true,,235,127,1,1,http://localhost:3001/character/1,1,0,0
